x,y,r,ci95_lo,ci95_hi,n
Sigma_socx_gdp,F_u_post_proxy_2011_2013,-0.46959446410229105,-0.8107988650828796,0.10981186052527739,13
Sigma_socx_gdp,Delta_Fu_post_minus_pre,-0.22908420920124212,-0.6926486624274384,0.36841131910164837,13
Sigma_socx_gdp,Fu_retention_ratio,-0.42904883069082345,-0.7926558429451516,0.15969733150310783,13
Sigma_socx_gdp,A_g_rebound_2010_minus_2009,0.23517754884033082,-0.36283189024020057,0.695984277940329,13
Z1_Hc60,F_u_post_proxy_2011_2013,-0.3065968698917312,-0.7336521850368406,0.2940753333165128,13
Z1_Hc60,Delta_Fu_post_minus_pre,0.16178537543092625,-0.4272983655177605,0.6544400871861815,13
Z1_Hc60,Fu_retention_ratio,-0.28518259744166863,-0.7226268186024886,0.31536511811238277,13
Z1_Hc60,A_g_rebound_2010_minus_2009,0.20197529681553822,-0.3927228985110154,0.6775644055159887,13
D_C_frac_2008_2015,F_u_post_proxy_2011_2013,-0.38250545466487207,-0.7382387478019852,0.13969546892014145,16
D_C_frac_2008_2015,Delta_Fu_post_minus_pre,-0.6282164529472378,-0.8570355963974345,-0.1924287987569669,16
D_C_frac_2008_2015,Fu_retention_ratio,-0.35699902939806083,-0.7244981688821048,0.16854023322027684,16
D_C_frac_2008_2015,A_g_rebound_2010_minus_2009,-0.07317946094180816,-0.548977613118015,0.4384381869782463,16
R_buffer_2009,F_u_post_proxy_2011_2013,0.1568188887430579,-0.36745920312591623,0.6054646614600651,16
R_buffer_2009,Delta_Fu_post_minus_pre,0.38570256234973743,-0.13601631053535718,0.7399404904111343,16
R_buffer_2009,Fu_retention_ratio,0.15543884502497987,-0.3686820934185839,0.6045679163346329,16
R_buffer_2009,A_g_rebound_2010_minus_2009,0.6692849720028127,0.25975028261235134,0.8747719672167832,16
H_household_debt_gdp,F_u_post_proxy_2011_2013,0.246623736856175,-0.3522338542620854,0.7021968391205008,13
H_household_debt_gdp,Delta_Fu_post_minus_pre,-0.0883714688734119,-0.6096782017785336,0.4863007608787016,13
H_household_debt_gdp,Fu_retention_ratio,0.26669220302471597,-0.3332742088518019,0.7129243418769837,13
H_household_debt_gdp,A_g_rebound_2010_minus_2009,-0.3325713014341406,-0.7467302890598501,0.26742634964864903,13
H_frag_60,F_u_post_proxy_2011_2013,0.15814707280202855,-0.4303456015572001,0.6523001935752539,13
H_frag_60,Delta_Fu_post_minus_pre,-0.11065020823383488,-0.623622713952719,0.4689326863619505,13
H_frag_60,Fu_retention_ratio,0.1363145722222055,-0.4483538010380422,0.6392916298675129,13
H_frag_60,A_g_rebound_2010_minus_2009,-0.4291783209417707,-0.7927148297264015,0.15954265939011622,13
