code,country,g_2009,g_2010,F_u_pre_proxy,F_u_post_proxy_2011_2013,F_u_post_proxy_2011_2012,Delta_Fu_post_minus_pre,Fu_retention_ratio,A_g_rebound_2010_minus_2009,D_C_frac_2008_2015,R_buffer_2009,Z1_Hc60,Sigma_socx_gdp,H_household_debt_gdp,H_frag_60,gdp_growth_2009,archetype,Z1_trueH_Hc50,Z1_trueH_Hc60,Z1_trueH_Hc70,Z1_trueH_Hc80,Z1_trueH_Hc90,Z1_trueH_Hc100,Z1_Hc50,Z1_Hc70,Z1_Hc80,Z1_Hc90,Z1_Hc100
AUT,Austria,-3.58626472551299,1.80898243043663,2.9825452964247123,1.1016626059508776,1.7778571205855431,-1.8808826904738347,0.3693699496438433,5.39524715594962,0.2692565756295236,4.436916597519243,,,,,-3.58626472551299,externally shocked but consumption-buffered,,,,,,,,,,,
BEL,Belgium,-1.90644105515335,2.71031150254662,3.030552536731043,0.8174843950910753,1.073479318101497,-2.213068141639968,0.2697476401359036,4.61675255769997,0.0025154932315416,2.49096363841886,,,,,-1.90644105515335,mixed / unresolved,,,,,,,,,,,
CAN,Canada,-2.91508621550267,3.09080634469335,2.74766665522487,2.4062230870742534,2.446427856579235,-0.3414435681506167,0.8757332635305891,6.0058925601960205,0.393083565114154,3.000064619982298,0.2249605683646253,18.0,85.0,25.0,-2.91508621550267,fragile-fast / threshold-prone,0.1999688435332593,0.2249605683646253,0.2570913558880776,0.2999299034097387,0.3110741215856829,0.3110741215856829,0.1999688435332593,0.2570913558880776,0.2999299034097387,0.3110741215856829,0.3110741215856829
CHE,Switzerland,-2.29737452570922,3.24339715656356,3.360353106447595,1.59483538808742,1.496181078550545,-1.7655177183601751,0.4746035126568599,5.54077168227278,0.0033781689894758,3.84986321926604,,,,,-2.29737452570922,externally shocked but consumption-buffered,,,,,,,,,,,
DEU,Germany,-5.54455451920674,4.13463778522758,2.2008429916647336,1.5394921551272394,2.110740440801287,-0.6613508365374943,0.6995011279576815,9.67919230443432,0.0,5.458524111885167,0.4252041745393677,25.9,60.0,0.0,-5.54455451920674,balanced / buffered,0.3702014226983167,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.3702014226983167,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.4252041745393677
DNK,Denmark,-4.97447905669058,1.58289703108802,2.4849055380981646,0.8993482969878676,0.6526857296719463,-1.5855572411102972,0.3619245412749928,6.5573760877786,0.9645980428801794,1.5423642861081497,0.2093035711389287,28.3,125.0,65.0,-4.97447905669058,debt-fragile leveraged,0.1948897477527072,0.2093035711389287,0.2260197326939498,0.2456377460131883,0.2689850542991526,0.2972367283308784,0.1948897477527072,0.2260197326939498,0.2456377460131883,0.2689850542991526,0.2972367283308784
ESP,Spain,-3.76813306940053,0.0941223116369514,3.5606730880598274,-1.6441188568246947,-1.752517161448912,-5.204791944884522,-0.4617438377979702,3.862255381037481,1.3218855248805128,0.1754288775933701,0.3251949765946852,24.7,85.0,25.0,-3.76813306940053,fragile-fast / threshold-prone,0.287361561148564,0.3251949765946852,0.3745009842030203,0.4414306205864043,0.4625084229945736,0.4625084229945736,0.287361561148564,0.3745009842030203,0.4414306205864043,0.4625084229945736,0.4625084229945736
FIN,Finland,-8.07603116552393,3.1682879121621,4.02876593501427,-0.037395533796076,0.4337772117806949,-4.066161468810346,-0.0092821311536292,11.24431907768603,0.8996610926230394,5.154598815426329,0.419319498842799,29.1,65.0,5.0,-8.07603116552393,balanced / buffered,0.4080021360058983,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799,0.4080021360058983,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799
FRA,France,-2.82455153714783,2.00032476039051,2.50034068429155,1.1343894161646944,1.3107059011315416,-1.3659512681268555,0.4536939399064787,4.82487629753834,0.3859187989552204,3.129367082386171,0.594643529513033,31.0,50.0,0.0,-2.82455153714783,stable-sluggish candidate,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033
GBR,United Kingdom,-4.58740819226323,2.26054460931586,2.55935147767732,1.3660558997744954,1.189849043119423,-1.1932955779028245,0.5337508004231711,6.8479528015790905,0.9214186127355533,1.70084055886753,0.2557670205267736,20.6,100.0,40.0,-4.58740819226323,debt-fragile leveraged,0.2275185964800996,0.2557670205267736,0.2920244049850948,0.3402593768633009,0.4075814148414657,0.4498597523743065,0.2275185964800996,0.2920244049850948,0.3402593768633009,0.4075814148414657,0.4498597523743065
