code,country,archetype,Sigma_socx_gdp,exports_gdp,gfcf_gdp,H_household_debt_gdp,H_frag_60,Z1_Hc60,Z0_linear_H,R_buffer_2009,D_C_frac_2008_2015,Z1_trueH_Hc50,Z1_trueH_Hc60,Z1_trueH_Hc70,Z1_trueH_Hc80,Z1_trueH_Hc90,Z1_trueH_Hc100,Z1_Hc50,Z1_Hc70,Z1_Hc80,Z1_Hc90,Z1_Hc100
SWE,Sweden,balanced / buffered,25.5,49.0140992896845,23.9954149226696,80.0,20.0,0.3184136190472925,0.1666563032453645,5.29364789448842,0.3243995837612199,0.2830675196836767,0.3184136190472925,0.349269547607606,0.349269547607606,0.349269547607606,0.349269547607606,0.2830675196836767,0.349269547607606,0.349269547607606,0.349269547607606,0.349269547607606
FIN,Finland,balanced / buffered,29.1,44.9027814242251,24.4953745888094,65.0,5.0,0.419319498842799,0.2165208278391688,5.154598815426329,0.8996610926230394,0.4080021360058983,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799,0.4080021360058983,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799
DEU,Germany,balanced / buffered,25.9,40.9488738182043,19.9630399184329,60.0,0.0,0.4252041745393677,0.2142055253249383,5.458524111885167,0.0,0.3702014226983167,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.3702014226983167,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.4252041745393677
JPN,Japan,balanced / buffered,22.3,17.2355433764071,25.2928155191183,65.0,5.0,0.5243559963078256,0.2073871509716491,4.778140548744022,0.2870491293610972,0.4300589291607942,0.5243559963078256,0.5243559963078256,0.5243559963078256,0.5243559963078256,0.5243559963078256,0.4300589291607942,0.5243559963078256,0.5243559963078256,0.5243559963078256,0.5243559963078256
IRL,Ireland,debt-fragile leveraged,21.0,84.3332733545791,24.8421187310969,105.0,45.0,0.1366739109151789,0.0980504800084569,-0.22810180764976,1.393471081219964,0.1283223323351761,0.1366739109151789,0.1461882539622667,0.1571263628357935,0.1698336709312602,0.1847771891905927,0.1283223323351761,0.1461882539622667,0.1571263628357935,0.1698336709312602,0.1847771891905927
NLD,Netherlands,debt-fragile leveraged,21.5,69.6056649864348,21.931094627813,115.0,55.0,0.1458747044596915,0.1040976920532495,1.7799222937832402,0.335616160580499,0.1366061544992483,0.1458747044596915,0.1564925183501476,0.1687773522547102,0.1831552388928064,0.2002109019513373,0.1366061544992483,0.1564925183501476,0.1687773522547102,0.1831552388928064,0.2002109019513373
DNK,Denmark,debt-fragile leveraged,28.3,53.9709187280921,22.9393877468768,125.0,65.0,0.2093035711389287,0.1401612453275553,1.5423642861081497,0.9645980428801794,0.1948897477527072,0.2093035711389287,0.2260197326939498,0.2456377460131883,0.2689850542991526,0.2972367283308784,0.1948897477527072,0.2260197326939498,0.2456377460131883,0.2689850542991526,0.2972367283308784
GBR,United Kingdom,debt-fragile leveraged,20.6,27.3794373670982,18.4126120244636,100.0,40.0,0.2557670205267736,0.1412971426492088,1.70084055886753,0.9214186127355533,0.2275185964800996,0.2557670205267736,0.2920244049850948,0.3402593768633009,0.4075814148414657,0.4498597523743065,0.2275185964800996,0.2920244049850948,0.3402593768633009,0.4075814148414657,0.4498597523743065
AUT,Austria,externally shocked but consumption-buffered,,53.5983913417575,23.5337970115719,,,,,4.436916597519243,0.2692565756295236,,,,,,,,,,,
CHE,Switzerland,externally shocked but consumption-buffered,,63.1293186926904,26.7342723602729,,,,,3.84986321926604,0.0033781689894758,,,,,,,,,,,
CAN,Canada,fragile-fast / threshold-prone,18.0,34.3950055520687,23.4690170424371,85.0,25.0,0.2249605683646253,0.1259939323638521,3.000064619982298,0.393083565114154,0.1999688435332593,0.2249605683646253,0.2570913558880776,0.2999299034097387,0.3110741215856829,0.3110741215856829,0.1999688435332593,0.2570913558880776,0.2999299034097387,0.3110741215856829,0.3110741215856829
USA,United States,fragile-fast / threshold-prone,18.7,12.4258473646734,21.235478492072,95.0,35.0,0.2635238247626743,0.1453428205832499,1.27100430447359,0.745652531831263,0.2309744782723563,0.2635238247626743,0.3067518584478234,0.3669449270720811,0.4565281911381424,0.5555336732600122,0.2309744782723563,0.3067518584478234,0.3669449270720811,0.4565281911381424,0.5555336732600122
ESP,Spain,fragile-fast / threshold-prone,24.7,25.5478087649402,27.8566240453349,85.0,25.0,0.3251949765946852,0.1784624921216127,0.1754288775933701,1.3218855248805128,0.287361561148564,0.3251949765946852,0.3745009842030203,0.4414306205864043,0.4625084229945736,0.4625084229945736,0.287361561148564,0.3745009842030203,0.4414306205864043,0.4625084229945736,0.4625084229945736
BEL,Belgium,mixed / unresolved,,80.8806199752035,24.1181419052712,,,,,2.49096363841886,0.0025154932315416,,,,,,,,,,,
ITA,Italy,stable-sluggish candidate,28.2,26.7427615964483,21.562045770846,40.0,0.0,0.5837928259515915,0.3193484119466468,3.8033401780180704,0.5770037460425977,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915
FRA,France,stable-sluggish candidate,31.0,29.1990596782502,22.9330135074895,50.0,0.0,0.594643529513033,0.3035285491916207,3.129367082386171,0.3859187989552204,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033
ISR,Israel,threshold-avoidance reference,14.639,37.17357118628023,22.80480791439038,36.325,0.0,0.2440712840110132,0.1520092040041205,-0.1815215555180316,,,,,,,,,,,,
