code,country,exports_gdp,gfcf_gdp,gdp_growth_2009,hh_cons_growth_2009,Sigma_socx_gdp,H_household_debt_gdp,R_buffer_2009,Exposure_unweighted,Z0,D_hh_cons_growth_2008_2013,max_gap_hh_cons_growth_2008_2013,Z1_Hc50,Z1_Hc60,Z1_Hc70,Z1_Hc80,Z1_Hc90,Z1_Hc100,D_C_frac_2008_2015,max_gap_C_frac_2008_2015,T_C_level_years,T_C_trend_years,D_Y_frac_2008_2015,max_gap_Y_frac_2008_2015,T_Y_level_years,T_Y_trend_years,B_T_depth_buffer,U_max_minus_pre_mean,Z1_trueH_Hc50,Z1_trueH_Hc60,Z1_trueH_Hc70,Z1_trueH_Hc80,Z1_trueH_Hc90,Z1_trueH_Hc100
AUT,Austria,53.5983913417575,23.5337970115719,-3.58626472551299,0.850651872006253,,,4.436916597519243,,,21.065906883545537,6.654016914709771,,,,,,,0.2692565756295236,0.0800593390521327,1.0,,0.4309549058173431,0.1013234043114907,1.0,1.0,0.3752093966331458,0.7763749999999998,,,,,,
BEL,Belgium,80.8806199752035,24.1181419052712,-1.90644105515335,0.58452258326551,,,2.49096363841886,,,4.041510428221216,1.3500487623511646,,,,,,,0.0025154932315416,0.0025154932315416,1.0,1.0,0.5887199910665077,0.1136516089679574,7.0,,0.9957271822433196,1.1652499999999997,,,,,,
CAN,Canada,34.3950055520687,23.4690170424371,-2.91508621550267,0.084978404479628,18.0,85.0,3.000064619982298,142.8640225945058,0.1259939323638521,36.48337371818188,9.872265249355138,0.1999688435332593,0.2249605683646253,0.2570913558880776,0.2999299034097387,0.3110741215856829,0.3110741215856829,0.393083565114154,0.084894772807818,1.0,1.0,0.5426509421245528,0.0907572442965551,5.0,,0.2756235461875768,1.4762500000000012,0.1999688435332593,0.2249605683646253,0.2570913558880776,0.2999299034097387,0.3110741215856829,0.3110741215856829
CHE,Switzerland,63.1293186926904,26.7342723602729,-2.29737452570922,1.55248869355682,,,3.84986321926604,,,0.0,0.0,,,,,,,0.0033781689894758,0.0019649322759096,1.0,1.0,0.2076769866048445,0.0466958485387734,1.0,1.0,0.9837335419552112,1.2537499999999997,,,,,,
DEU,Germany,40.9488738182043,19.9630399184329,-5.54455451920674,-0.086030407321573,25.9,60.0,5.458524111885167,120.9119137366372,0.2142055253249383,3.943723218596858,1.4981311470562702,0.3702014226983167,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.0,0.0,1.0,1.0,0.0520100129457521,0.0408401461352,1.0,1.0,1.0,-1.4799999999999995,0.3702014226983167,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.4252041745393677,0.4252041745393677
DNK,Denmark,53.9709187280921,22.9393877468768,-4.97447905669058,-3.43211477058243,28.3,125.0,1.5423642861081497,201.9103064749689,0.1401612453275553,73.71023603032698,19.12120275069134,0.1948897477527072,0.2093035711389287,0.2260197326939498,0.2456377460131883,0.2689850542991526,0.2972367283308784,0.9645980428801794,0.17832089721485,,,0.759977972450777,0.1226956315444999,,,-0.2692447384620156,3.2925000000000004,0.1948897477527072,0.2093035711389287,0.2260197326939498,0.2456377460131883,0.2689850542991526,0.2972367283308784
ESP,Spain,25.5478087649402,27.8566240453349,-3.76813306940053,-3.59270419180716,24.7,85.0,0.1754288775933701,138.4044328102751,0.1784624921216127,125.82542654130997,37.597082532839,0.287361561148564,0.3251949765946852,0.3745009842030203,0.4414306205864043,0.4625084229945736,0.4625084229945736,1.3218855248805128,0.2370446624767812,,,1.0447873115415431,0.1884751784338041,,,-0.2652197344645409,15.65875,0.287361561148564,0.3251949765946852,0.3745009842030203,0.4414306205864043,0.4625084229945736,0.4625084229945736
FIN,Finland,44.9027814242251,24.4953745888094,-8.07603116552393,-2.9214323500976,29.1,65.0,5.154598815426329,134.3981560130345,0.2165208278391688,57.260370114276014,16.811505950112362,0.4080021360058983,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799,0.8996610926230394,0.1914630029193448,1.0,,1.193725385840398,0.2464648397846668,1.0,,0.2463416600714523,-0.3821250000000002,0.4080021360058983,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799
FRA,France,29.1990596782502,22.9330135074895,-2.82455153714783,0.304815545238341,31.0,50.0,3.129367082386171,102.1320731857397,0.3035285491916207,35.47305405770719,10.758695419650223,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.3859187989552204,0.0825903998085094,3.0,,0.4093187871442888,0.0758184754565936,7.0,,0.0571681264676954,1.545,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033
GBR,United Kingdom,27.3794373670982,18.4126120244636,-4.58740819226323,-2.8865676333957,20.6,100.0,1.70084055886753,145.79204939156182,0.1412971426492087,48.04515018033318,10.38797512208204,0.2275185964800996,0.2557670205267736,0.2920244049850948,0.3402593768633009,0.4075814148414657,0.4498597523743065,0.9214186127355533,0.1400648635088861,8.0,,0.8662881714908703,0.1346030402102752,8.0,,-0.0636398407123626,3.223125,0.2275185964800996,0.2557670205267736,0.2920244049850948,0.3402593768633009,0.4075814148414657,0.4498597523743065
IRL,Ireland,84.3332733545791,24.8421187310969,-5.09578277913846,-5.32388458678822,21.0,105.0,-0.22810180764976,214.175392085676,0.0980504800084569,183.83660641559703,50.38534883779767,0.1283223323351761,0.1366739109151789,0.1461882539622667,0.1571263628357935,0.1698336709312602,0.1847771891905927,1.393471081219964,0.2413691434879913,,,1.4673013487645443,0.2546612943742524,8.0,,0.050317044693474,11.106125,0.1283223323351761,0.1366739109151789,0.1461882539622667,0.1571263628357935,0.1698336709312602,0.1847771891905927
ITA,Italy,26.7427615964483,21.562045770846,-5.30515401233991,-1.50181383432184,28.2,40.0,3.8033401780180704,88.3048073672943,0.3193484119466468,48.48809955098389,15.810665521148891,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5770037460425977,0.1185204420581452,,,0.7739315959755435,0.1398609041121096,,,0.2544512343945817,4.312750000000001,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915,0.5837928259515915
JPN,Japan,17.2355433764071,25.2928155191183,-5.69323635892741,-0.915095810183388,22.3,65.0,4.778140548744022,107.5283588955254,0.2073871509716491,20.42127710055104,4.731603312197194,0.4300589291607942,0.5243559963078256,0.5243559963078256,0.5243559963078256,0.5243559963078256,0.5243559963078256,0.2870491293610972,0.0482640873553121,3.0,,0.5034656650260516,0.0874577162709265,6.0,,0.4298536140567917,0.3938750000000004,0.4300589291607942,0.5243559963078256,0.5243559963078256,0.5243559963078256,0.5243559963078256,0.5243559963078256
