code,country,exports_gdp,gfcf_gdp,gdp_growth_2009,hh_cons_growth_2009,Sigma_socx_gdp,H_household_debt_gdp,R_buffer_2009,Exposure_unweighted,Z0,D_hh_cons_growth_2008_2013,max_gap_hh_cons_growth_2008_2013,Exposure_unweighted_trueH,Z0_trueH,Z1_trueH_Hc50,Z1_trueH_Hc60,Z1_trueH_Hc70,Z1_trueH_Hc80,Z1_trueH_Hc90,Z1_trueH_Hc100,Sigma_source,Exposure_unweighted_oecdSigma_trueH,Z0_oecdSigma_trueH,Z1_oecdSigma_trueH_Hc50,Z1_oecdSigma_trueH_Hc60,Z1_oecdSigma_trueH_Hc70,Z1_oecdSigma_trueH_Hc80,Z1_oecdSigma_trueH_Hc90,Z1_oecdSigma_trueH_Hc100
AUS,Australia,20.1044121403643,28.1494081563949,1.95484826298522,0.420422545471183,17.037,108.475,-1.534425717514037,153.25382029675922,0.1089695510863108,14.883354929693496,4.653018771445346,156.7288202967592,0.1065534722227812,0.15647132567909675,0.1726476136973989,0.19255421603635062,0.21764963849842167,0.2502666752646167,0.29438299461612527,OECD_SOCX_2008_public_total_pct_GDP,156.7288202967592,0.1087036830095523,0.15962886081405817,0.17613158051272965,0.19643989093480868,0.22204173000584493,0.25531696685528593,0.3003235376811333
AUT,Austria,53.5983913417575,23.5337970115719,-3.58626472551299,0.850651872006253,26.116,51.825,4.436916597519243,,,21.065906883545537,6.654016914709771,,,,,,,,,OECD_SOCX_2008_public_total_pct_GDP,128.9571883533294,0.20251682231505275,0.3307615246268931,0.33858756710450194,0.33858756710450194,0.33858756710450194,0.33858756710450194,0.33858756710450194
BEL,Belgium,80.8806199752035,24.1181419052712,-1.90644105515335,0.58452258326551,25.744,48.625,2.49096363841886,,,4.0415104282212155,1.3500487623511646,,,,,,,,,OECD_SOCX_2008_public_total_pct_GDP,153.62376188047472,0.1675782423556965,0.245183843494323,0.245183843494323,0.245183843494323,0.245183843494323,0.245183843494323,0.245183843494323
CAN,Canada,34.3950055520687,23.4690170424371,-2.91508621550267,0.084978404479628,17.135,82.15,3.000064619982298,142.8640225945058,0.1259939323638521,36.48337371818188,9.872265249355138,140.0140225945058,0.12855855196825355,0.1999688435332593,0.22496056836462536,0.25709135588807763,0.2999299034097387,0.31107412158568293,0.31107412158568293,OECD_SOCX_2008_public_total_pct_GDP,140.0140225945058,0.12238059933200136,0.1903592296634666,0.21414996327376976,0.24473668795234504,0.2855166052736596,0.2961252818539265,0.2961252818539265
CHE,Switzerland,63.1293186926904,26.7342723602729,-2.29737452570922,1.55248869355682,13.751,100.75,3.84986321926604,,,0.0,0.0,,,,,,,,,OECD_SOCX_2008_public_total_pct_GDP,190.6135910529633,0.0721407110796165,0.09779282284897033,0.10528000868166945,0.1140087106266633,0.12431564574570075,0.13667139653887744,0.15175427703734412
DEU,Germany,40.9488738182043,19.9630399184329,-5.54455451920674,-0.086030407321573,24.193,59.05,5.458524111885167,120.9119137366372,0.21420552532493833,3.9437232185968583,1.4981311470562702,119.96191373663719,0.215901857458364,0.37020142269831674,0.42520417453936776,0.42520417453936776,0.42520417453936776,0.42520417453936776,0.42520417453936776,OECD_SOCX_2008_public_total_pct_GDP,119.96191373663719,0.20167234121583785,0.34580243317916515,0.39718010017880023,0.39718010017880023,0.39718010017880023,0.39718010017880023,0.39718010017880023
DNK,Denmark,53.9709187280921,22.9393877468768,-4.97447905669058,-3.43211477058243,26.204,118.3,1.5423642861081497,201.9103064749689,0.14016124532755533,73.71023603032698,19.12120275069134,195.21030647496892,0.14497185374599472,0.19488974775270726,0.2093035711389287,0.2260197326939498,0.24563774601318836,0.26898505429915265,0.2972367283308784,OECD_SOCX_2008_public_total_pct_GDP,195.21030647496892,0.13423471574417123,0.18045551060466222,0.19380179428001723,0.2092798966612106,0.2274449292059925,0.24906305169098925,0.2752223049181038
ESP,Spain,25.5478087649402,27.8566240453349,-3.76813306940053,-3.59270419180716,21.413,82.55,0.17542887759337011,138.4044328102751,0.17846249212161275,125.82542654130995,37.597082532838996,135.9544328102751,0.18167851896722587,0.287361561148564,0.3251949765946852,0.37450098420302036,0.44143062058640437,0.4625084229945736,0.4625084229945736,OECD_SOCX_2008_public_total_pct_GDP,135.9544328102751,0.15750130067389503,0.249120368780332,0.2819190297093925,0.324663545536003,0.382686391846829,0.40095922516529575,0.40095922516529575
FIN,Finland,44.9027814242251,24.4953745888094,-8.07603116552393,-2.9214323500976,23.464,51.925,5.154598815426329,134.3981560130345,0.21652082783916884,57.260370114276014,16.811505950112362,121.32315601303449,0.23985528365972947,0.4080021360058983,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799,0.419319498842799,OECD_SOCX_2008_public_total_pct_GDP,121.32315601303449,0.19340083765607877,0.3289815161251683,0.3381069663521455,0.3381069663521455,0.3381069663521455,0.3381069663521455,0.3381069663521455
FRA,France,29.1990596782502,22.9330135074895,-2.82455153714783,0.304815545238341,28.518,48.375,3.129367082386171,102.1320731857397,0.3035285491916207,35.47305405770719,10.758695419650223,100.5070731857397,0.3084360037299185,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,0.594643529513033,OECD_SOCX_2008_public_total_pct_GDP,100.5070731857397,0.28374122433451016,0.5470336830533121,0.5470336830533121,0.5470336830533121,0.5470336830533121,0.5470336830533121,0.5470336830533121
