regime,S,m,c_x,t,x,u,x_dot,u_dot,x_accel,u_accel,D_x_cumulative,F_x,F_u
fragile-fast,0.15,1.6,0.7,0.0,0.0,0.0,0.0,0.0,1.4706717590724871e-22,8.632316965003248e-06,0.0,2.3530748145159795e-22,1.3811707144005197e-05
fragile-fast,0.15,1.6,0.7,0.04,2.3530748145159796e-25,1.3811707144005199e-08,5.882687036289948e-24,3.4529267860012995e-07,2.1650225390910083e-22,9.69725568813565e-06,9.412299258063918e-27,3.5075679466141594e-22,1.5636461538527087e-05
fragile-fast,0.15,1.6,0.7,0.08,8.1701856915775735e-25,4.313902338902744e-08,1.4542777192653983e-23,7.33182906125556e-07,3.19385218740862e-22,1.0895686408480075e-05,4.209304202437421e-26,5.220133125893948e-22,1.7689712270712066e-05
fragile-fast,0.15,1.6,0.7,0.12,1.909746006849296e-24,8.98994378876178e-08,2.7318185942288463e-23,1.169010362464759e-06,4.716319302271801e-22,1.2243249476493596e-05,1.1848288229834605e-25,7.756435645299394e-22,1.999835278925242e-05
fragile-fast,0.15,1.6,0.7,0.16,3.757084532904323e-24,1.5624905154859792e-07,4.618346315137567e-23,1.6587403415245027e-06,6.966105822587828e-22,1.3757286157580342e-05,2.6876626361451894e-25,1.1506624403529199e-21,2.2592216971662123e-05
fragile-fast,0.15,1.6,0.7,0.2,6.718999990573402e-24,2.446103230617066e-07,7.404788644172698e-23,2.2090317878277165e-06,1.0285744313372915e-21,1.5457007133964095e-05,5.37526263237455e-25,1.7042716106394488e-21,2.5504372540082254e-05
fragile-fast,0.15,1.6,0.7,0.24,1.1326634538382148e-23,3.577028059891578e-07,1.1519086369521864e-22,2.8273120731862804e-06,1.5176491388530407e-21,1.7363675744904226e-05,9.905916447727409e-25,2.5201988612899004e-21,2.877144041746196e-05
fragile-fast,0.15,1.6,0.7,0.28,1.8362507708355758e-23,4.985771701084558e-07,1.7589682924934026e-22,3.5218591029824496e-06,2.2370665064527143e-21,1.9500807033349317e-05,1.7250919531069712e-24,3.7207966985072366e-21,3.2433941939402764e-05
fragile-fast,0.15,1.6,0.7,0.32,2.897768728865371e-23,6.706528254811127e-07,2.6537948950744882e-22,4.301891384316422e-06,3.2936386405855075e-21,2.1894383720422804e-05,2.8841994446531195e-24,5.48456515488068e-21,3.6536675937187235e-05
fragile-fast,0.15,1.6,0.7,0.36,4.4862688693888476e-23,8.77759494806446e-07,3.9712503513086915e-22,5.177666733133335e-06,4.84289841348821e-21,2.457309028243247e-05,4.678706992408658e-24,8.071487674866634e-21,4.112912780848862e-05
fragile-fast,0.15,1.6,0.7,0.4,6.849632756070437e-23,1.1241831085836712e-06,5.908409716703975e-22,6.160590344430634e-06,7.110947948148105e-21,2.7568566358010218e-05,7.418560094836834e-24,1.1859601724766951e-20,4.6265912793367074e-05
fragile-fast,0.15,1.6,0.7,0.44,1.0350748314455724e-22,1.414716428533713e-06,8.752788895963218e-22,7.263332998751042e-06,1.0425933612863413e-20,3.091568076512039e-05,1.1558859420619124e-23,1.7397696486443444e-20,5.2007255773755486e-05
fragile-fast,0.15,1.6,0.7,0.48,1.5520013250899158e-22,1.7547148377079474e-06,1.2923162341108584e-21,8.499960229355858e-06,1.5263311976250557e-20,3.46528274585509e-05,1.7766864720978788e-23,2.5481120658387487e-20,5.8419510013955985e-05
fragile-fast,0.15,1.6,0.7,0.52,2.313140810354268e-22,2.150157770815863e-06,1.902848713160881e-21,9.886073327697894e-06,2.2310838675016167e-20,3.8822244807613846e-05,2.701942796239586e-23,3.7260650060273914e-20,6.557571735687642e-05
fragile-fast,0.15,1.6,0.7,0.56,3.4312537144188793e-22,2.607716295615961e-06,2.7952822601615275e-21,1.1438963120002448e-05,3.256171502960447e-20,4.3470359620575596e-05,4.0744442820071374e-23,5.43985670009221e-20,7.355621248492181e-05
fragile-fast,0.15,1.6,0.7,0.6,5.070354058957162e-22,3.13482739580898e-06,4.0977508613457064e-21,1.3177777504825472e-05,4.744786515651664e-20,4.8648157386183376e-05,6.102585905590003e-23,7.929204525926433e-20,8.244927394458232e-05
